accuracy,precision,recall,f1
0.6666666666666666,0.525,0.5892857142857143,0.47916666666666674
0.6666666666666666,0.5738636363636364,0.5738636363636364,0.5738636363636364
0.6,0.5885167464114832,0.583710407239819,0.5833333333333333
0.6,0.6071428571428572,0.6111111111111112,0.5982142857142858
0.8,0.7638888888888888,0.8238636363636364,0.775
0.6333333333333333,0.6111111111111112,0.5972222222222222,0.5970695970695971
0.7,0.6964285714285714,0.6990950226244343,0.6969696969696969
0.6666666666666666,0.6968325791855203,0.7301587301587301,0.6606334841628959
0.6666666666666666,0.5341614906832298,0.5341614906832298,0.5341614906832298
0.8,0.75,0.7840909090909092,0.7619047619047619
